danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity,artist_popularity,year,artistFeatured,billboard
0.666,0.855,-5.051,0.0295,0.179,1.20E-06,0.0987,0.803,125.639,268427,82,77,1991,0,0
0.678,0.656,-6.41,0.0381,0.00174,0,0.0631,0.485,123.207,257053,70,83,1991,0,0
0.284,0.875,-6.069,0.0422,0.00752,0.000461,0.402,0.595,75.009,340907,76,80,1991,0,0
0.746,0.443,-11.305,0.0359,0.663,0,0.223,0.554,91.11,198333,67,60,1991,0,0
0.496,0.739,-7.193,0.0415,0.0211,0.00444,0.106,0.378,132.41,336000,78,83,1991,0,0
0.285,0.846,-6.472,0.0438,0.0404,0,0.182,0.287,108.808,318227,74,80,1991,0,0
0.539,0.597,-9.581,0.0258,0.0108,0.00552,0.134,0.251,139.444,387133,66,85,1991,0,0
0.666,0.936,-9.919,0.0476,0.00244,0.086,0.153,0.776,91.577,282907,74,86,1991,0,0
0.651,0.766,-9.935,0.0299,0.206,0.00103,0.362,0.949,116.74,242107,72,73,1991,0,0
0.642,0.423,-9.283,0.0249,0.079,0,0.0663,0.505,149.61,351467,73,72,1991,0,0
0.436,0.876,-4.902,0.0647,3.33E-05,0.000104,0.205,0.512,157.044,255080,65,83,1991,0,0
0.36,0.684,-6.457,0.0308,0.323,0,0.34,0.2,77.15,342653,75,80,1991,0,0
0.642,0.397,-16.842,0.0639,0.461,0.000834,0.106,0.798,84.064,286493,64,58,1991,0,0
0.282,0.656,-6.557,0.0302,0.0105,0,0.0892,0.242,139.352,251867,70,82,1991,0,0
0.632,0.845,-6.336,0.0333,0.000773,0.00152,0.0618,0.433,89.232,324560,64,85,1991,0,0
0.831,0.921,-2.383,0.0581,0.153,0.00213,0.305,0.794,108.002,239227,70,85,1991,1,0
0.543,0.912,-10.71,0.0601,0.00162,2.10E-06,0.0565,0.836,103.731,256733,72,62,1991,0,0
0.526,0.365,-12.605,0.028,0.0775,1.35E-05,0.0618,0.253,131.253,394133,66,79,1991,0,0
0.886,0.512,-11.825,0.237,0.207,0,0.0991,0.454,93.997,308733,66,60,1991,0,0
0.504,0.354,-11.3,0.0339,0.29,4.71E-06,0.157,0.292,140.87,303587,70,80,1991,0,0
0.392,0.534,-8.793,0.0369,0.245,0.00104,0.155,0.325,181.305,276187,78,83,1991,0,0
0.346,0.749,-6.506,0.035,0.00167,8.86E-05,0.648,0.315,102.591,443240,67,82,1991,0,0
0.783,0.698,-8.268,0.0323,0.522,2.52E-06,0.0754,0.758,124.996,248200,64,63,1991,0,0
0.428,0.51,-11.695,0.103,0.52,8.32E-06,0.105,0.393,169.967,257267,62,65,1991,0,0
0.688,0.375,-9.601,0.0535,0.286,0,0.133,0.45,83.635,210480,73,63,1991,0,0
0.517,0.421,-12.822,0.172,0.813,0,0.0788,0.578,121.466,224733,63,0,1991,0,0
